"","IGOI.Open","IGOI.High","IGOI.Low","IGOI.Close","IGOI.Volume","IGOI.Adjusted"
"1",5,5,4,4,800,4
"2",3.9,3.9,3.9,3.9,200,3.9
"3",3.9,3.9,3.9,3.9,0,3.9
"4",3.9,3.9,3.9,3.9,0,3.9
"5",3.9,3.9,3.9,3.9,0,3.9
"6",3.13,3.15,3.13,3.15,900,3.15
"7",3.22,3.43,3.22,3.4,8200,3.4
"8",3.43,3.43,3.2,3.2,3300,3.2
"9",3.22,3.22,3.21,3.21,900,3.21
"10",3.25,3.25,3.2,3.2,300,3.2
"11",3.2,3.2,3.2,3.2,0,3.2
"12",3.2,3.2,3.2,3.2,0,3.2
"13",3.44,3.44,3.25,3.25,200,3.25
"14",3.2,3.2,3.2,3.2,900,3.2
"15",3.2,3.2,3.2,3.2,1000,3.2
"16",NA,NA,NA,NA,NA,NA
"17",3.2,3.2,3.2,3.2,700,3.2
"18",3.2,3.2,3.2,3.2,0,3.2
"19",3.2,3.2,3.1,3.15,5700,3.15
"20",3.15,3.15,3.15,3.15,0,3.15
"21",3.18,3.18,3.18,3.18,900,3.18
"22",3.15,3.15,3.12,3.12,2000,3.12
"23",3.12,3.12,3.12,3.12,0,3.12
"24",3.4,3.4,3.2,3.2,1100,3.2
"25",3.2,3.2,3.2,3.2,0,3.2
"26",3.2,3.2,3.2,3.2,0,3.2
"27",3.2,3.2,3.2,3.2,0,3.2
"28",3.2,3.37,3.2,3.37,1900,3.37
"29",3.37,3.37,3.13,3.15,2100,3.15
"30",3.39,3.44,3.39,3.44,1000,3.44
"31",3.44,3.44,3.44,3.44,0,3.44
"32",3.44,3.44,3.44,3.44,0,3.44
"33",3.38,3.38,3.38,3.38,200,3.38
"34",3.38,3.38,3.38,3.38,0,3.38
"35",3.3,3.38,3.25,3.38,800,3.38
"36",3.38,3.38,3.38,3.38,0,3.38
"37",3.38,3.38,3.38,3.38,0,3.38
"38",3.25,3.4,3.25,3.4,8100,3.4
"39",3.15,3.49,3.15,3.49,2100,3.49
"40",3.2,3.3,3.12,3.3,8500,3.3
"41",3.2,3.2,3.2,3.2,100,3.2
"42",3.15,3.2,3.15,3.2,600,3.2
"43",3.2,3.2,3.2,3.2,500,3.2
"44",3.2,3.2,3.2,3.2,0,3.2
"45",3.2,3.2,3.16,3.16,500,3.16
"46",3.2,3.2,3.2,3.2,1000,3.2
"47",3.2,3.2,3.2,3.2,0,3.2
"48",3.2,3.2,3.2,3.2,0,3.2
"49",3.2,3.2,3.2,3.2,0,3.2
"50",3.2,3.2,3.15,3.15,1500,3.15
"51",3.14,3.15,3.14,3.15,2000,3.15
"52",3.2,3.2,3.2,3.2,7500,3.2
"53",3.2,3.2,3.2,3.2,0,3.2
"54",3.15,3.15,3.1,3.1,11900,3.1
"55",3.2,3.2,3.2,3.2,200,3.2
"56",3.08,3.08,3.05,3.05,2100,3.05
"57",3.05,3.05,3.05,3.05,0,3.05
"58",3.05,3.05,3.05,3.05,0,3.05
"59",3.1,3.1,3.1,3.1,700,3.1
"60",3.1,3.1,3.1,3.1,2000,3.1
