"","UTSI.Open","UTSI.High","UTSI.Low","UTSI.Close","UTSI.Volume","UTSI.Adjusted"
"1",123,219,123,204.375,4286100,204.375
"2",186,219,182.578125,202.875,694300,202.875
"3",199.5,201.75,187.5,192,382800,192
"4",189,190.875,171,180.75,632500,180.75
"5",176.625,183.375,168.75,183.375,329700,183.375
"6",178.125,187.875,175.6875,182.25,339200,182.25
"7",157.875,171.375,157.5,162.75,422500,162.75
"8",159,163.5,136.125,138,443400,138
"9",137.8125,163.125,137.625,160.875,409400,160.875
"10",164.25,180,160.125,175.125,227000,175.125
"11",176.25,180,165,165.75,125400,165.75
"12",165.75,168,144,147.375,192800,147.375
"13",150.1875,168.1875,150,162,224300,162
"14",168,180.375,168,176.25,156800,176.25
"15",175.3125,183,174,175.125,226800,175.125
"16",183,210,183,206.25,297200,206.25
"17",208.5,230.25,208.5,215.625,268200,215.625
"18",226.3125,275.625,219,262.5,524300,262.5
"19",264.796875,280.5,225.75,246.9375,458700,246.9375
"20",243.5625,269.25,228,244.5,336100,244.5
"21",251.25,256.5,233.625,234.1875,271700,234.1875
"22",232.125,232.875,207,208.5,196700,208.5
"23",209.625,211.125,131.625,165.375,391800,165.375
"24",158.25,202.5,148.5,178.5,142900,178.5
"25",186,200.625,180.75,183.375,91900,183.375
"26",185.25,201,184.6875,198.75,53900,198.75
"27",199.125,199.125,191.625,192.375,85000,192.375
"28",190.875,190.875,172.875,174,69700,174
"29",173.625,174.375,152.625,157.5,115900,157.5
"30",160.875,163.5,150,150,111600,150
"31",147.75,147.75,88.125,90.375,247100,90.375
"32",93,99,82.875,91.875,269700,91.875
"33",96.9375,117.75,94.125,111,157200,111
"34",130.03125,134.625,112.6875,117,154600,117
"35",118.875,123,112.5,115.875,111300,115.875
"36",116.625,116.625,108.75,112.5,65800,112.5
"37",115.875,120.75,113.25,116.625,67300,116.625
"38",126,149.25,119.625,141.75,247300,141.75
"39",120,150,120,150,123300,150
"40",153.5625,158.625,135,142.5,143300,142.5
"41",137.4375,142.125,137.25,139.5,64900,139.5
"42",132.375,137.953125,129.75,130.875,57000,130.875
"43",129,130.125,118.875,129.375,70300,129.375
"44",126.46875,142.5,124.125,127.125,73200,127.125
"45",129.375,138,127.5,132.75,28000,132.75
"46",129.75,134.25,126,130.5,17600,130.5
"47",133.125,133.125,123,123,44600,123
"48",124.125,124.5,115.5,116.25,25900,116.25
"49",119.0625,124.125,114.75,117,24100,117
"50",122.25,124.125,109.5,109.5,36900,109.5
"51",108,108.75,100.5,106.6875,51500,106.6875
"52",111,129.75,110.625,127.5,86800,127.5
"53",121.5,137.625,116.25,137.625,50400,137.625
"54",135,143.625,132,132.1875,66300,132.1875
"55",131.25,132,118.5,124.875,43000,124.875
"56",120.375,124.5,117,120.375,107100,120.375
"57",120,120,117,118.125,111100,118.125
"58",116.25,117,102.375,108,112100,108
"59",116.25,120,110.625,113.25,338100,113.25
"60",114.75,114.75,99.75,100.875,71700,100.875
"61",106.5,109.125,102,105.75,90100,105.75
"62",108.28125,118.5,107.625,114.75,102700,114.75
"63",81.75,84,54.796875,62.0625,3572800,62.0625
"64",66.5625,66.5625,60.1875,63.5625,1072400,63.5625
"65",66.5625,68.4375,63.1875,63.75,453400,63.75
"66",64.5,64.6875,59.0625,59.25,367300,59.25
"67",60.1875,60.75,56.625,57.75,220600,57.75
"68",60,60.1875,55.875,56.625,198300,56.625
"69",58.3125,58.5,54.75,56.25,202400,56.25
"70",57.1875,57.375,54.375,55.6875,150700,55.6875
"71",54.5625,55.3125,50.25,54.1875,226600,54.1875
"72",55.875,64.3125,55.875,60.75,733200,60.75
"73",62.625,63.375,58.125,58.875,319000,58.875
"74",62.0625,62.25,58.5,60.375,120700,60.375
"75",60,61.5,58.875,61.5,92500,61.5
"76",61.6875,62.25,57,60.1875,107000,60.1875
"77",60.75,65.0625,59.8125,63.375,194300,63.375
"78",66.1875,74.625,64.125,69,330100,69
"79",73.6875,76.875,72,72.9375,335900,72.9375
"80",75.1875,75.75,69,69.1875,149200,69.1875
"81",70.6875,71.0625,65.25,66,100500,66
"82",66,68.625,65.25,66.75,79500,66.75
"83",67.21875,69.75,66.375,69.375,80400,69.375
"84",85.5,99,84,91.125,1002000,91.125
"85",92.25,92.625,88.5,90,105200,90
"86",90.09375,90.375,79.875,80.25,184500,80.25
"87",80.4375,89.25,78.75,88.6875,123200,88.6875
"88",88.6875,90,85.125,85.125,111300,85.125
"89",85.59375,85.875,81.75,83.0625,127700,83.0625
"90",81.84375,83.625,79.875,81,146700,81
"91",82.3125,92.25,82.125,90,119500,90
"92",89.8125,96,89.25,96,148500,96
"93",96.375,96.5625,88.125,93.375,101100,93.375
"94",90.9375,98.625,90.75,94.5,81000,94.5
"95",94.78125,94.875,89.25,92.25,63500,92.25
"96",90.28125,90.5625,81,83.0625,118800,83.0625
"97",82.875,84.375,79.5,80.4375,98700,80.4375
"98",80.625,84.375,79.5,80.25,53800,80.25
"99",82.5,83.25,75,75.75,58000,75.75
"100",70.125,79.5,69.75,75.75,64200,75.75
"101",76.6875,80.25,70.5,80.25,89400,80.25
"102",77.25,77.625,72.1875,73.5,62600,73.5
"103",72.9375,73.875,67.5,69.75,84100,69.75
"104",71.34375,79.875,69,76.3125,83200,76.3125
"105",78.9375,79.5,66,71.8125,116400,71.8125
"106",70.875,77.25,70.5,74.625,111700,74.625
"107",73.125,75,70.875,74.8125,71200,74.8125
"108",75,75.75,70.5,71.8125,31900,71.8125
"109",71.25,75,70.6875,71.625,60200,71.625
"110",71.4375,73.5,70.5,70.5,58300,70.5
"111",72.09375,75,67.5,68.25,141300,68.25
"112",69.75,69.9375,64.5,64.5,58300,64.5
"113",64.875,65.25,63.375,65.0625,117000,65.0625
"114",65.4375,66,60,63,121500,63
"115",63.375,69.375,62.625,66.5625,68300,66.5625
"116",66.65625,66.9375,61.5,61.6875,190400,61.6875
"117",62.90625,64.125,62.625,63.1875,167100,63.1875
"118",63.75,64.5,63,63.9375,91300,63.9375
"119",63.375,64.125,63.1875,63.9375,55100,63.9375
"120",63.9375,64.5,63.375,63.5625,45100,63.5625
"121",63.46875,64.125,63.1875,64.125,81500,64.125
"122",63.9375,64.5,63.375,63.375,52800,63.375
"123",64.40625,74.4375,64.3125,73.125,143000,73.125
"124",72.1875,72.1875,66.375,67.125,104200,67.125
"125",66,69.5625,63.375,68.25,76300,68.25
"126",68.625,71.25,63.9375,64.875,397400,64.875
"127",66.5625,72,64.5,71.625,301800,71.625
"128",70.125,73.5,66.75,72,396500,72
"129",72,77.8125,71.25,73.125,208100,73.125
"130",73.6875,73.875,71.625,72,127000,72
"131",72.09375,72.75,71.25,72.1875,95000,72.1875
"132",71.4375,72,69,71.4375,82100,71.4375
"133",70.5,70.5,64.5,66.1875,96100,66.1875
"134",67.125,68.25,63,63.1875,59700,63.1875
"135",63.28125,63.375,60.75,63,66000,63
"136",63.1875,63.1875,61.5,62.25,87600,62.25
"137",61.5,69,61.3125,68.25,263900,68.25
"138",68.15625,72.1875,64.125,64.875,223300,64.875
"139",66.375,68.625,63.75,66,125200,66
"140",66.75,66.75,62.25,63.9375,83300,63.9375
"141",63.375,63.9375,57.75,58.125,99100,58.125
"142",56.0625,63,54,62.8125,207500,62.8125
"143",64.03125,68.25,63,67.875,3e+05,67.875
"144",68.625,69.1875,66.75,69,147800,69
"145",68.71875,68.8125,65.25,65.625,104500,65.625
"146",66.46875,66.9375,62.8125,64.3125,65100,64.3125
"147",64.5,64.875,62.625,62.8125,30000,62.8125
"148",62.34375,63,61.5,61.5,65200,61.5
"149",61.59375,62.0625,58.6875,58.875,68500,58.875
"150",57.28125,58.6875,54.375,58.6875,50500,58.6875
